Date,Area,People Tested,Positive Cases,% Positive,,,,,,,,,
01/01/2021,Total,2667,153,5.74%,,,,,,,,,
02/01/2021,Total,10439,409,3.92%,,,,,,,,,
03/01/2021,Total,9212,325,3.53%,,,,,,,,,
04/01/2021,Total,10853,364,3.35%,,,,,,,,,
05/01/2021,Total,10889,356,3.27%,,,,,,,,,
06/01/2021,Total,7144,285,3.99%,,,,,,,,,
07/01/2021,Total,9049,263,2.91%,,,,,,,,,
08/01/2021,Total,9380,216,2.30%,,,,,,,,,
09/01/2021,Total,7967,158,1.98%,,,,,,,,,
10/01/2021,Total,7171,170,2.37%,,,,,,,,,
11/01/2021,Total,8950,170,1.90%,,,,,,,,,
12/01/2021,Total,10441,133,1.27%,,,,,,,,,
13/01/2021,Total,10830,111,1.02%,,,,,,,,,
14/01/2021,Total,8187,107,1.31%,,,,,,,,,
15/01/2021,Total,8833,139,1.57%,,,,,,,,,
16/01/2021,Total,5611,103,1.84%,,,,,,,,,
17/01/2021,Total,5797,84,1.45%,,,,,,,,,
18/01/2021,Total,7721,80,1.04%,,,,,,,,,
19/01/2021,Total,6499,83,1.28%,,,,,,,,,
20/01/2021,Total,7834,74,0.94%,,,,,,,,,
21/01/2021,Total,9431,65,0.69%,,,,,,,,,
22/01/2021,Total,7917,44,0.56%,,,,,,,,,
23/01/2021,Total,6118,55,0.90%,,,,,,,,,
24/01/2021,Total,6318,63,1.00%,,,,,,,,,
25/01/2021,Total,11399,79,0.69%,,,,,,,,,
26/01/2021,Total,9267,72,0.78%,,,,,,,,,
27/01/2021,Total,10377,57,0.55%,,,,,,,,,
28/01/2021,Total,11929,96,0.80%,,,,,,,,,
29/01/2021,Total,17566,74,0.42%,,,,,,,,,
30/01/2021,Total,20433,60,0.29%,,,,,,,,,
31/01/2021,Total,27297,71,0.26%,,,,,,,,,
01/02/2021,Total,25394,75,0.30%,,,,,,,,,
02/02/2021,Total,25476,78,0.31%,,,,,,,,,
03/02/2021,Total,26943,65,0.24%,,,,,,,,,
04/02/2021,Total,26813,71,0.26%,,,,,,,,,
05/02/2021,Total,28461,68,0.24%,,,,,,,,,
06/02/2021,Total,34773,76,0.22%,,,,,,,,,
07/02/2021,Total,40122,76,0.19%,,,,,,,,,
08/02/2021,Total,32456,75,0.23%,,,,,,,,,
09/02/2021,Total,24168,53,0.22%,,,,,,,,,
10/02/2021,Total,22915,62,0.27%,,,,,,,,,
11/02/2021,Total,24518,55,0.22%,,,,,,,,,
12/02/2021,Total,29915,62,0.21%,,,,,,,,,
13/02/2021,Total,30118,75,0.25%,,,,,,,,,
14/02/2021,Total,34308,70,0.20%,,,,,,,,,
15/02/2021,Total,33098,66,0.20%,,,,,,,,,
16/02/2021,Total,24652,42,0.17%,,,,,,,,,
17/02/2021,Total,23577,66,0.28%,,,,,,,,,
18/02/2021,Total,23835,58,0.24%,,,,,,,,,
19/02/2021,Total,35408,44,0.12%,,,,,,,,,
20/02/2021,Total,29476,61,0.21%,,,,,,,,,
21/02/2021,Total,34078,60,0.18%,,,,,,,,,
22/02/2021,Total,31637,75,0.24%,,,,,,,,,
23/02/2021,Total,25677,85,0.33%,,,,,,,,,
24/02/2021,Total,24972,76,0.30%,,,,,,,,,
25/02/2021,Total,26157,102,0.39%,,,,,,,,,
26/02/2021,Total,41608,149,0.36%,,,,,,,,,
27/02/2021,Total,38160,174,0.46%,,,,,,,,,
28/02/2021,Total,43656,161,0.37%,,,,,,,,,
01/03/2021,Total,35418,193,0.54%,,,,,,,,,
02/03/2021,Total,30153,190,0.63%,,,,,,,,,
03/03/2021,Total,30265,190,0.63%,,,,,,,,,
04/03/2021,Total,36977,254,0.69%,,,,,,,,,
05/03/2021,Total,55600,189,0.34%,,,,,,,,,
06/03/2021,Total,42107,206,0.49%,,,,,,,,,
07/03/2021,Total,45191,185,0.41%,,,,,,,,,
08/03/2021,Total,38128,225,0.59%,,,,,,,,,
09/03/2021,Total,31487,222,0.71%,,,,,,,,,
